epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7046,1.499,2.75138,1.57621,0.04973,0.17073,0.02926,0.00967,2.72414,31.0071,3.44286,0.00040008,0.00040008,0.00040008
2,45.0524,1.32951,1.89894,1.43654,0.3913,0.10976,0.08214,0.03689,2.43097,28.284,3.99722,0.000789875,0.000789875,0.000789875
3,57.3758,1.40841,1.91418,1.46853,0.00307,0.14634,0.0008,0.00018,4.29145,614.707,44.7713,0.00115216,0.00115216,0.00115216
4,74.1693,1.38659,1.72998,1.45268,0.19512,0.19512,0.06583,0.01643,2.61449,36.9773,5.91985,0.00148695,0.00148695,0.00148695
5,86.3509,1.35008,1.72204,1.43552,0.11888,0.41463,0.06914,0.03316,2.12495,73.1327,3.55484,0.00144696,0.00144696,0.00144696
6,100.953,1.31056,1.6132,1.41383,0.19284,0.37805,0.23493,0.0934,2.4757,15.6308,3.29841,0.00139195,0.00139195,0.00139195
7,115.683,1.35001,1.61959,1.46859,0.09553,0.17073,0.072,0.02583,nan,nan,nan,0.00133693,0.00133693,0.00133693
8,130.787,1.34006,1.61257,1.43344,0.12111,0.08537,0.04395,0.01289,2.73822,15.8377,2.74476,0.00128192,0.00128192,0.00128192
9,147.184,1.24507,1.5162,1.35645,0.33856,0.36585,0.21134,0.0953,1.93909,3.52022,2.00793,0.00122691,0.00122691,0.00122691
10,159.216,1.17603,1.45776,1.33147,0.22821,0.47561,0.2893,0.13286,1.83307,4.26272,1.87797,0.0011719,0.0011719,0.0011719
11,175.966,1.15721,1.46734,1.33534,0.33532,0.34146,0.27913,0.14416,1.69504,2.89871,1.73951,0.00111689,0.00111689,0.00111689
12,188.7,1.14848,1.40746,1.31161,0.45272,0.40244,0.42026,0.18782,1.86849,2.8452,1.90914,0.00106188,0.00106188,0.00106188
13,202.857,1.11878,1.43081,1.29792,0.43748,0.42679,0.41598,0.21883,1.68201,2.67322,1.681,0.00100687,0.00100687,0.00100687
14,217.377,1.12397,1.32878,1.31377,0.50751,0.41471,0.41086,0.19918,1.78008,2.66749,1.76128,0.000951857,0.000951857,0.000951857
15,230.036,1.0185,1.25818,1.23632,0.39986,0.5122,0.36292,0.18323,1.69189,3.44548,1.66871,0.000896846,0.000896846,0.000896846
16,244.835,1.09756,1.31757,1.28376,0.64637,0.5122,0.5338,0.31439,1.49262,1.93204,1.52643,0.000841835,0.000841835,0.000841835
17,260.693,0.994,1.20077,1.23493,0.60252,0.40674,0.53867,0.27062,1.59347,2.09257,1.66281,0.000786824,0.000786824,0.000786824
18,275.629,0.94221,1.20018,1.21192,0.56628,0.42683,0.40299,0.20741,1.58819,2.04726,1.58016,0.000731813,0.000731813,0.000731813
19,287.316,0.96833,1.19916,1.21463,0.6733,0.26829,0.34938,0.17636,1.5853,2.45132,1.57005,0.000676802,0.000676802,0.000676802
20,303.549,0.91638,1.14052,1.18559,0.60699,0.5122,0.53188,0.3073,1.39227,1.71444,1.4666,0.000621791,0.000621791,0.000621791
21,319.312,0.98312,1.27922,1.27684,0.52619,0.48757,0.4773,0.30877,1.43322,1.6349,1.49579,0.00056678,0.00056678,0.00056678
22,330.681,0.93401,1.22996,1.23691,0.74591,0.5728,0.65431,0.43096,1.29825,1.39661,1.3484,0.000511769,0.000511769,0.000511769
23,342.347,0.89555,1.17426,1.19009,0.74208,0.6316,0.69522,0.46138,1.25111,1.28132,1.34476,0.000456758,0.000456758,0.000456758
24,356.593,0.87684,1.09431,1.17979,0.64987,0.56098,0.62604,0.39664,1.30556,1.3345,1.3526,0.000401747,0.000401747,0.000401747
25,369.693,0.82881,1.03432,1.14714,0.76137,0.54878,0.6663,0.4729,1.22511,1.18594,1.31145,0.000346736,0.000346736,0.000346736
26,381.674,0.78212,1.00603,1.13998,0.79887,0.57317,0.69507,0.47905,1.26252,1.20638,1.33474,0.000291725,0.000291725,0.000291725
27,393.483,0.81204,0.99311,1.16121,0.75189,0.60976,0.68687,0.50114,1.17653,1.18253,1.26649,0.000236714,0.000236714,0.000236714
28,407.739,0.78428,0.98982,1.12636,0.76032,0.619,0.70612,0.49601,1.18165,1.13925,1.27579,0.000181703,0.000181703,0.000181703
29,421.418,0.75586,0.96998,1.1342,0.69301,0.67073,0.72498,0.52688,1.11575,1.08429,1.20906,0.000126692,0.000126692,0.000126692
30,433.224,0.77421,0.92872,1.12155,0.70101,0.68626,0.73109,0.52846,1.11398,1.04143,1.21306,7.1681e-05,7.1681e-05,7.1681e-05
